city,city_subunit,lat,lng,pages_limit,place_search_radius
Berlin,Mariendorf,52.4401921,13.387322,2,3000
Berlin,Marienfelde,52.412478,13.3613976,2,3000
Berlin,Lichtenrade,52.398496,13.4064619,2,3000
Berlin,Neukölln,52.440770900000004,13.4445071,2,3000
Berlin,Britz,52.45266779999999,13.438604000000002,2,3000
Berlin,Buckow,52.423630200000005,13.4366333,2,3000
Berlin,Rudow,52.415724700000005,13.4964949,2,3000
Berlin,Gropiusstadt,52.4217791,13.4616071,2,3000
Berlin,Alt-Treptow,52.4917223,13.4577383,2,3000
Berlin,Plänterwald,52.477583900000006,13.478741399999999,2,3000
Berlin,Baumschulenweg,52.46084129999999,13.481307300000001,2,3000
Berlin,Johannisthal,52.43675820000001,13.503993099999999,2,3000
Berlin,Niederschöneweide,52.4548799,13.5121268,2,3000
Berlin,Altglienicke,52.4126625,13.5465149,2,3000
Berlin,Adlershof,52.434879,13.5421149,2,3000
Berlin,Bohnsdorf,52.3990007,13.570637099999999,2,3000
Berlin,Oberschöneweide,52.4687708,13.514525899999999,2,3000
Berlin,Köpenick,52.4426069,13.582274100000001,2,3000
Berlin,Friedrichshagen,52.461374,13.640605599999999,2,3000
Berlin,Rahnsdorf,52.44849620000001,13.7039685,2,3000
Berlin,Grünau,52.4045551,13.592754500000002,2,3000
Berlin,Müggelheim,52.4134854,13.678562300000003,2,3000
Berlin,Schmöckwitz,52.37860870000001,13.645570499999998,2,3000
Berlin,Marzahn,52.544650100000005,13.564643300000002,2,3000
Berlin,Biesdorf,52.50866679999999,13.5614488,2,3000
Berlin,Kaulsdorf,52.517596,13.589043400000001,2,3000
Berlin,Mahlsdorf,52.5048282,13.613407,2,3000
Berlin,Hellersdorf,52.5366324,13.604900099999998,2,3000
Berlin,Friedrichsfelde,52.5096562,13.5189846,2,3000
Berlin,Karlshorst,52.4865796,13.5269291,2,3000
Berlin,Lichtenberg,52.5335904,13.499857500000001,2,3000
Berlin,Falkenberg,52.578193000000006,13.547680599999998,2,3000
Berlin,Wartenberg,52.5816061,13.5182973,2,3000
Berlin,Neu-Hohenschönhausen,52.56707900000001,13.515213399999999,2,3000
Berlin,Alt-Hohenschönhausen,52.5485593,13.5084938,2,3000
Berlin,Fennpfuhl,52.526700399999996,13.4797383,2,3000
Berlin,Rummelsburg,52.50240920000001,13.486700199999998,2,3000
Berlin,Reinickendorf,52.5790422,13.2805353,2,3000
Berlin,Tegel,52.5854954,13.2812374,2,3000
Berlin,Konradshöhe,52.5837946,13.2267747,2,3000
Berlin,Heiligensee,52.612685600000006,13.2317796,2,3000
Berlin,Frohnau,52.6403515,13.2911767,2,3000
